Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Heat Pump	Dependency=HVAC System Is Shared	Option=None	Option=Electric Boiler	Option=Electric Furnace	Option=Electric Baseboard
CR09	1950s	Natural Gas	No	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1950s	Natural Gas	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1950s	None	No	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1950s	None	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1950s	Other Fuel	No	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1950s	Other Fuel	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1950s	Propane	No	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1950s	Propane	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1950s	Electricity	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1950s	Electricity	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1950s	Fuel Oil	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1950s	Fuel Oil	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1950s	Natural Gas	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1950s	Natural Gas	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1950s	None	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1950s	None	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1950s	Other Fuel	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1950s	Other Fuel	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1950s	Propane	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1950s	Propane	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1950s	Electricity	No	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1950s	Electricity	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1950s	Fuel Oil	No	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1950s	Fuel Oil	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1950s	Natural Gas	No	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1950s	Natural Gas	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1950s	None	No	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1950s	None	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1950s	Other Fuel	No	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1950s	Other Fuel	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1950s	Propane	No	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1950s	Propane	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	Electricity	No	Neither Shared	0.000000	0.017675	0.808173	0.174151
CR09	1960s	Electricity	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	Fuel Oil	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	Fuel Oil	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	Natural Gas	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	Natural Gas	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	None	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	None	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	Other Fuel	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	Other Fuel	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	Propane	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	Propane	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	Electricity	No	Only Cooling Shared	0.000000	0.017675	0.808173	0.174151
CR09	1960s	Electricity	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	Fuel Oil	No	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	Fuel Oil	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	Natural Gas	No	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	Natural Gas	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	None	No	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	None	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	Other Fuel	No	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	Other Fuel	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	Propane	No	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	Propane	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	Electricity	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	Electricity	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	Fuel Oil	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	Fuel Oil	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	Natural Gas	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	Natural Gas	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	None	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	None	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	Other Fuel	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	Other Fuel	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	Propane	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	Propane	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	Electricity	No	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	Electricity	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	Fuel Oil	No	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	Fuel Oil	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	Natural Gas	No	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	Natural Gas	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	None	No	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	None	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	Other Fuel	No	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	Other Fuel	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	Propane	No	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1960s	Propane	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	Electricity	No	Neither Shared	0.000000	0.000000	0.895975	0.104025
CR09	1970s	Electricity	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	Fuel Oil	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	Fuel Oil	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	Natural Gas	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	Natural Gas	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	None	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	None	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	Other Fuel	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	Other Fuel	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	Propane	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	Propane	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	Electricity	No	Only Cooling Shared	0.000000	0.000000	0.895975	0.104025
CR09	1970s	Electricity	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	Fuel Oil	No	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	Fuel Oil	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	Natural Gas	No	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	Natural Gas	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	None	No	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	None	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	Other Fuel	No	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	Other Fuel	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	Propane	No	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	Propane	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	Electricity	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	Electricity	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	Fuel Oil	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	Fuel Oil	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	Natural Gas	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	Natural Gas	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	None	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	None	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	Other Fuel	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	Other Fuel	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	Propane	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	Propane	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	Electricity	No	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	Electricity	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	Fuel Oil	No	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	Fuel Oil	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	Natural Gas	No	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	Natural Gas	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	None	No	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	None	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	Other Fuel	No	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	Other Fuel	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	Propane	No	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1970s	Propane	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	Electricity	No	Neither Shared	0.000000	0.000000	0.947483	0.052517
CR09	1980s	Electricity	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	Fuel Oil	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	Fuel Oil	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	Natural Gas	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	Natural Gas	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	None	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	None	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	Other Fuel	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	Other Fuel	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	Propane	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	Propane	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	Electricity	No	Only Cooling Shared	0.000000	0.000000	0.947483	0.052517
CR09	1980s	Electricity	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	Fuel Oil	No	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	Fuel Oil	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	Natural Gas	No	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	Natural Gas	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	None	No	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	None	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	Other Fuel	No	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	Other Fuel	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	Propane	No	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	Propane	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	Electricity	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	Electricity	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	Fuel Oil	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	Fuel Oil	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	Natural Gas	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	Natural Gas	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	None	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	None	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	Other Fuel	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	Other Fuel	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	Propane	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	Propane	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	Electricity	No	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	Electricity	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	Fuel Oil	No	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	Fuel Oil	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	Natural Gas	No	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	Natural Gas	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	None	No	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	None	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	Other Fuel	No	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	Other Fuel	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	Propane	No	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1980s	Propane	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	Electricity	No	Neither Shared	0.000000	0.000000	0.928360	0.071640
CR09	1990s	Electricity	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	Fuel Oil	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	Fuel Oil	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	Natural Gas	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	Natural Gas	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	None	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	None	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	Other Fuel	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	Other Fuel	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	Propane	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	Propane	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	Electricity	No	Only Cooling Shared	0.000000	0.000000	0.928360	0.071640
CR09	1990s	Electricity	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	Fuel Oil	No	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	Fuel Oil	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	Natural Gas	No	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	Natural Gas	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	None	No	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	None	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	Other Fuel	No	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	Other Fuel	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	Propane	No	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	Propane	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	Electricity	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	Electricity	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	Fuel Oil	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	Fuel Oil	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	Natural Gas	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	Natural Gas	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	None	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	None	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	Other Fuel	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	Other Fuel	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	Propane	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	Propane	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	Electricity	No	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	Electricity	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	Fuel Oil	No	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	Fuel Oil	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	Natural Gas	No	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	Natural Gas	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	None	No	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	None	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	Other Fuel	No	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	Other Fuel	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	Propane	No	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	1990s	Propane	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	Electricity	No	Neither Shared	0.000000	0.000000	0.966965	0.033035
CR09	2000s	Electricity	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	Fuel Oil	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	Fuel Oil	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	Natural Gas	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	Natural Gas	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	None	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	None	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	Other Fuel	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	Other Fuel	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	Propane	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	Propane	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	Electricity	No	Only Cooling Shared	0.000000	0.000000	0.966965	0.033035
CR09	2000s	Electricity	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	Fuel Oil	No	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	Fuel Oil	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	Natural Gas	No	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	Natural Gas	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	None	No	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	None	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	Other Fuel	No	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	Other Fuel	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	Propane	No	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	Propane	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	Electricity	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	Electricity	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	Fuel Oil	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	Fuel Oil	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	Natural Gas	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	Natural Gas	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	None	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	None	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	Other Fuel	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	Other Fuel	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	Propane	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	Propane	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	Electricity	No	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	Electricity	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	Fuel Oil	No	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	Fuel Oil	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	Natural Gas	No	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	Natural Gas	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	None	No	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	None	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	Other Fuel	No	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	Other Fuel	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	Propane	No	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	2000s	Propane	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	2010s	Electricity	No	Neither Shared	0.000000	0.000000	0.966965	0.033035
CR09	2010s	Electricity	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	2010s	Fuel Oil	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	2010s	Fuel Oil	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	2010s	Natural Gas	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	2010s	Natural Gas	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	2010s	None	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	2010s	None	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	2010s	Other Fuel	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	2010s	Other Fuel	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	2010s	Propane	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	2010s	Propane	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR09	2010s	Electricity	No	Only Cooling Shared	0.000000	0.000000	0.966965	0.033035
CR09	2010s	Electricity	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	2010s	Fuel Oil	No	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	2010s	Fuel Oil	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	2010s	Natural Gas	No	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	2010s	Natural Gas	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	2010s	None	No	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	2010s	None	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	2010s	Other Fuel	No	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	2010s	Other Fuel	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	2010s	Propane	No	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	2010s	Propane	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000
CR09	2010s	Electricity	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	2010s	Electricity	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	2010s	Fuel Oil	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	2010s	Fuel Oil	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	2010s	Natural Gas	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	2010s	Natural Gas	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	2010s	None	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	2010s	None	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	2010s	Other Fuel	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	2010s	Other Fuel	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	2010s	Propane	No	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	2010s	Propane	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000
CR09	2010s	Electricity	No	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	2010s	Electricity	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000
CR09	2010s	Fuel Oil	No	Both Shared	1.000000	0.000000	0.000000	0.000000
