occupants,lighting_interior,lighting_exterior,cooking_range,refrigerator,extra_refrigerator,freezer,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,plug_loads_tv,plug_loads_other,plug_loads_vehicle,plug_loads_well_pump,fuel_loads_grill,fuel_loads_lighting,fuel_loads_fireplace,pool_pump,pool_heater,hot_tub_pump,hot_tub_heater,hot_water_fixtures
1,0.33,0.262,0.15,0.752,0.752,0.752,0.162,0.162,0.255,0.255,0.198,0.0637,0.549,1,0.263,0.162,0.263,0.263,0.178,0.178,0.357,0.447,0.897
0.869,0.417,0.255,0.252,0.791,0.791,0.791,0.251,0.251,0.569,0.569,0.395,0.0879,0.623,1,0.334,0.257,0.334,0.334,0.301,0.301,0.15,0.188,1
0.41,0.427,0.247,0.276,0.811,0.811,0.811,0.47,0.47,0.847,0.847,0.593,0.108,0.638,1,0.334,0.246,0.334,0.334,0.575,0.575,0.15,0.188,0.92
0.246,0.424,0.21,0.288,0.811,0.811,0.811,0.527,0.527,0.998,0.998,0.84,0.127,0.638,1,0.324,0.229,0.324,0.324,0.829,0.829,0.119,0.149,0.77
0.246,0.411,0.165,0.252,0.791,0.791,0.791,0.454,0.454,0.975,0.975,0.963,0.143,0.638,1,0.334,0.246,0.334,0.334,0.87,0.87,0.0939,0.118,0.644
0.246,0.394,0.112,0.3,0.791,0.791,0.791,0.389,0.389,0.87,0.87,1,0.158,0.653,1,0.334,0.257,0.334,0.334,0.829,0.829,0.0876,0.11,0.54
0.246,0.382,0.0899,0.342,0.831,0.831,0.831,0.332,0.332,0.778,0.778,0.914,0.167,0.668,1,0.324,0.235,0.324,0.324,0.822,0.822,0.0876,0.11,0.46
0.246,0.378,0.0824,0.276,0.831,0.831,0.831,0.373,0.373,0.696,0.696,0.827,0.189,0.668,1,0.324,0.212,0.324,0.324,0.616,0.616,0.0876,0.11,0.402
0.246,0.378,0.0824,0.342,0.831,0.831,0.831,0.292,0.292,0.569,0.569,0.704,0.2,0.653,1,0.324,0.274,0.324,0.324,0.514,0.514,0.15,0.188,0.379
0.246,0.379,0.0899,0.264,0.811,0.811,0.811,0.308,0.308,0.603,0.603,0.753,0.224,0.683,1,0.334,0.33,0.334,0.334,0.418,0.418,0.363,0.455,0.356
0.295,0.386,0.142,0.552,0.87,0.87,0.87,0.308,0.308,0.58,0.58,0.679,0.279,0.713,1,0.455,0.615,0.455,0.455,0.253,0.253,0.789,0.989,0.448
0.541,0.412,0.277,0.9,0.949,0.949,0.949,0.397,0.397,0.569,0.569,0.667,0.343,0.772,1,0.577,0.9,0.577,0.577,0.158,0.158,0.764,0.958,0.586
0.885,0.484,0.367,0.702,0.989,0.989,0.989,0.705,0.705,0.569,0.569,0.63,0.461,0.787,1,0.668,0.643,0.668,0.668,0.089,0.089,0.426,0.534,0.69
0.885,0.619,0.487,0.36,0.949,0.949,0.949,0.9,0.9,0.569,0.569,0.63,0.646,0.742,1,0.769,0.391,0.769,0.769,0.0548,0.0548,0.382,0.479,0.69
0.885,0.783,0.682,0.21,0.93,0.93,0.93,0.73,0.73,0.569,0.569,0.642,0.797,0.698,1,0.819,0.246,0.819,0.819,0.0274,0.0274,0.319,0.4,0.632
1,0.88,0.787,0.15,0.91,0.91,0.91,0.543,0.543,0.545,0.545,0.667,0.756,0.668,1,0.87,0.106,0.87,0.87,0.0205,0.0205,0.269,0.338,0.552
1,0.597,0.682,0.096,0.87,0.87,0.87,0.357,0.357,0.371,0.371,0.543,0.457,0.594,1,0.759,0.0726,0.759,0.759,0.0205,0.0205,0.15,0.188,0.437
1,0.249,0.472,0.066,0.811,0.811,0.811,0.251,0.251,0.197,0.197,0.296,0.198,0.534,1,0.658,0.0391,0.658,0.658,0.0205,0.0205,0.15,0.188,0.299
1,0.124,0.345,0.042,0.791,0.791,0.791,0.122,0.122,0.104,0.104,0.123,0.0813,0.52,1,0.445,0.0224,0.445,0.445,0.0205,0.0205,0.15,0.188,0.138
1,0.0743,0.345,0.042,0.771,0.771,0.771,0.0567,0.0567,0.0812,0.0812,0.0741,0.0395,0.49,1,0.233,0.00559,0.233,0.233,0.0205,0.0205,0.182,0.228,0.069
1,0.0495,0.345,0.024,0.752,0.752,0.752,0.0405,0.0405,0.0464,0.0464,0.0494,0.0198,0.475,1,0.192,0.00559,0.192,0.192,0.0205,0.0205,0.15,0.188,0.046
1,0.0495,0.345,0.024,0.732,0.732,0.732,0.0243,0.0243,0.0464,0.0464,0.0247,0.0154,0.46,1,0.152,0.0112,0.152,0.152,0.0274,0.0274,0.182,0.228,0.0575
1,0.0529,0.345,0.042,0.712,0.712,0.712,0.0243,0.0243,0.0812,0.0812,0.0494,0.0242,0.475,1,0.162,0.0391,0.162,0.162,0.0548,0.0548,0.294,0.369,0.115
1,0.14,0.277,0.066,0.712,0.712,0.712,0.0811,0.0811,0.128,0.128,0.0741,0.0395,0.49,1,0.182,0.0671,0.182,0.182,0.103,0.103,0.419,0.526,0.391
1,0.33,0.262,0.15,0.752,0.752,0.752,0.162,0.162,0.255,0.255,0.198,0.0637,0.549,1,0.263,0.162,0.263,0.263,0.178,0.178,0.357,0.447,0.897
0.869,0.417,0.255,0.252,0.791,0.791,0.791,0.251,0.251,0.569,0.569,0.395,0.0879,0.623,1,0.334,0.257,0.334,0.334,0.301,0.301,0.15,0.188,1
0.41,0.427,0.247,0.276,0.811,0.811,0.811,0.47,0.47,0.847,0.847,0.593,0.108,0.638,1,0.334,0.246,0.334,0.334,0.575,0.575,0.15,0.188,0.92
0.246,0.424,0.21,0.288,0.811,0.811,0.811,0.527,0.527,0.998,0.998,0.84,0.127,0.638,1,0.324,0.229,0.324,0.324,0.829,0.829,0.119,0.149,0.77
0.246,0.411,0.165,0.252,0.791,0.791,0.791,0.454,0.454,0.975,0.975,0.963,0.143,0.638,1,0.334,0.246,0.334,0.334,0.87,0.87,0.0939,0.118,0.644
0.246,0.394,0.112,0.3,0.791,0.791,0.791,0.389,0.389,0.87,0.87,1,0.158,0.653,1,0.334,0.257,0.334,0.334,0.829,0.829,0.0876,0.11,0.54
0.246,0.382,0.0899,0.342,0.831,0.831,0.831,0.332,0.332,0.778,0.778,0.914,0.167,0.668,1,0.324,0.235,0.324,0.324,0.822,0.822,0.0876,0.11,0.46
0.246,0.378,0.0824,0.276,0.831,0.831,0.831,0.373,0.373,0.696,0.696,0.827,0.189,0.668,1,0.324,0.212,0.324,0.324,0.616,0.616,0.0876,0.11,0.402
0.246,0.378,0.0824,0.342,0.831,0.831,0.831,0.292,0.292,0.569,0.569,0.704,0.2,0.653,1,0.324,0.274,0.324,0.324,0.514,0.514,0.15,0.188,0.379
0.246,0.379,0.0899,0.264,0.811,0.811,0.811,0.308,0.308,0.603,0.603,0.753,0.224,0.683,1,0.334,0.33,0.334,0.334,0.418,0.418,0.363,0.455,0.356
0.295,0.386,0.142,0.552,0.87,0.87,0.87,0.308,0.308,0.58,0.58,0.679,0.279,0.713,1,0.455,0.615,0.455,0.455,0.253,0.253,0.789,0.989,0.448
0.541,0.412,0.277,0.9,0.949,0.949,0.949,0.397,0.397,0.569,0.569,0.667,0.343,0.772,1,0.577,0.9,0.577,0.577,0.158,0.158,0.764,0.958,0.586
0.885,0.484,0.367,0.702,0.989,0.989,0.989,0.705,0.705,0.569,0.569,0.63,0.461,0.787,1,0.668,0.643,0.668,0.668,0.089,0.089,0.426,0.534,0.69
0.885,0.619,0.487,0.36,0.949,0.949,0.949,0.9,0.9,0.569,0.569,0.63,0.646,0.742,1,0.769,0.391,0.769,0.769,0.0548,0.0548,0.382,0.479,0.69
0.885,0.783,0.682,0.21,0.93,0.93,0.93,0.73,0.73,0.569,0.569,0.642,0.797,0.698,1,0.819,0.246,0.819,0.819,0.0274,0.0274,0.319,0.4,0.632
1,0.88,0.787,0.15,0.91,0.91,0.91,0.543,0.543,0.545,0.545,0.667,0.756,0.668,1,0.87,0.106,0.87,0.87,0.0205,0.0205,0.269,0.338,0.552
1,0.597,0.682,0.096,0.87,0.87,0.87,0.357,0.357,0.371,0.371,0.543,0.457,0.594,1,0.759,0.0726,0.759,0.759,0.0205,0.0205,0.15,0.188,0.437
1,0.249,0.472,0.066,0.811,0.811,0.811,0.251,0.251,0.197,0.197,0.296,0.198,0.534,1,0.658,0.0391,0.658,0.658,0.0205,0.0205,0.15,0.188,0.299
1,0.124,0.345,0.042,0.791,0.791,0.791,0.122,0.122,0.104,0.104,0.123,0.0813,0.52,1,0.445,0.0224,0.445,0.445,0.0205,0.0205,0.15,0.188,0.138
1,0.0743,0.345,0.042,0.771,0.771,0.771,0.0567,0.0567,0.0812,0.0812,0.0741,0.0395,0.49,1,0.233,0.00559,0.233,0.233,0.0205,0.0205,0.182,0.228,0.069
1,0.0495,0.345,0.024,0.752,0.752,0.752,0.0405,0.0405,0.0464,0.0464,0.0494,0.0198,0.475,1,0.192,0.00559,0.192,0.192,0.0205,0.0205,0.15,0.188,0.046
1,0.0495,0.345,0.024,0.732,0.732,0.732,0.0243,0.0243,0.0464,0.0464,0.0247,0.0154,0.46,1,0.152,0.0112,0.152,0.152,0.0274,0.0274,0.182,0.228,0.0575
1,0.0529,0.345,0.042,0.712,0.712,0.712,0.0243,0.0243,0.0812,0.0812,0.0494,0.0242,0.475,1,0.162,0.0391,0.162,0.162,0.0548,0.0548,0.294,0.369,0.115
1,0.14,0.277,0.066,0.712,0.712,0.712,0.0811,0.0811,0.128,0.128,0.0741,0.0395,0.49,1,0.182,0.0671,0.182,0.182,0.103,0.103,0.419,0.526,0.391
1,0.33,0.262,0.15,0.752,0.752,0.752,0.162,0.162,0.255,0.255,0.198,0.0637,0.549,1,0.263,0.162,0.263,0.263,0.178,0.178,0.357,0.447,0.897
0.869,0.417,0.255,0.252,0.791,0.791,0.791,0.251,0.251,0.569,0.569,0.395,0.0879,0.623,1,0.334,0.257,0.334,0.334,0.301,0.301,0.15,0.188,1
0.41,0.427,0.247,0.276,0.811,0.811,0.811,0.47,0.47,0.847,0.847,0.593,0.108,0.638,1,0.334,0.246,0.334,0.334,0.575,0.575,0.15,0.188,0.92
0.246,0.424,0.21,0.288,0.811,0.811,0.811,0.527,0.527,0.998,0.998,0.84,0.127,0.638,1,0.324,0.229,0.324,0.324,0.829,0.829,0.119,0.149,0.77
0.246,0.411,0.165,0.252,0.791,0.791,0.791,0.454,0.454,0.975,0.975,0.963,0.143,0.638,1,0.334,0.246,0.334,0.334,0.87,0.87,0.0939,0.118,0.644
0.246,0.394,0.112,0.3,0.791,0.791,0.791,0.389,0.389,0.87,0.87,1,0.158,0.653,1,0.334,0.257,0.334,0.334,0.829,0.829,0.0876,0.11,0.54
0.246,0.382,0.0899,0.342,0.831,0.831,0.831,0.332,0.332,0.778,0.778,0.914,0.167,0.668,1,0.324,0.235,0.324,0.324,0.822,0.822,0.0876,0.11,0.46
0.246,0.378,0.0824,0.276,0.831,0.831,0.831,0.373,0.373,0.696,0.696,0.827,0.189,0.668,1,0.324,0.212,0.324,0.324,0.616,0.616,0.0876,0.11,0.402
0.246,0.378,0.0824,0.342,0.831,0.831,0.831,0.292,0.292,0.569,0.569,0.704,0.2,0.653,1,0.324,0.274,0.324,0.324,0.514,0.514,0.15,0.188,0.379
0.246,0.379,0.0899,0.264,0.811,0.811,0.811,0.308,0.308,0.603,0.603,0.753,0.224,0.683,1,0.334,0.33,0.334,0.334,0.418,0.418,0.363,0.455,0.356
0.295,0.386,0.142,0.552,0.87,0.87,0.87,0.308,0.308,0.58,0.58,0.679,0.279,0.713,1,0.455,0.615,0.455,0.455,0.253,0.253,0.789,0.989,0.448
0.541,0.412,0.277,0.9,0.949,0.949,0.949,0.397,0.397,0.569,0.569,0.667,0.343,0.772,1,0.577,0.9,0.577,0.577,0.158,0.158,0.764,0.958,0.586
0.885,0.484,0.367,0.702,0.989,0.989,0.989,0.705,0.705,0.569,0.569,0.63,0.461,0.787,1,0.668,0.643,0.668,0.668,0.089,0.089,0.426,0.534,0.69
0.885,0.619,0.487,0.36,0.949,0.949,0.949,0.9,0.9,0.569,0.569,0.63,0.646,0.742,1,0.769,0.391,0.769,0.769,0.0548,0.0548,0.382,0.479,0.69
0.885,0.783,0.682,0.21,0.93,0.93,0.93,0.73,0.73,0.569,0.569,0.642,0.797,0.698,1,0.819,0.246,0.819,0.819,0.0274,0.0274,0.319,0.4,0.632
1,0.88,0.787,0.15,0.91,0.91,0.91,0.543,0.543,0.545,0.545,0.667,0.756,0.668,1,0.87,0.106,0.87,0.87,0.0205,0.0205,0.269,0.338,0.552
1,0.597,0.682,0.096,0.87,0.87,0.87,0.357,0.357,0.371,0.371,0.543,0.457,0.594,1,0.759,0.0726,0.759,0.759,0.0205,0.0205,0.15,0.188,0.437
1,0.249,0.472,0.066,0.811,0.811,0.811,0.251,0.251,0.197,0.197,0.296,0.198,0.534,1,0.658,0.0391,0.658,0.658,0.0205,0.0205,0.15,0.188,0.299
1,0.124,0.345,0.042,0.791,0.791,0.791,0.122,0.122,0.104,0.104,0.123,0.0966,0.52,1,0.445,0.0224,0.445,0.445,0.0205,0.0205,0.15,0.188,0.138
1,0.0743,0.345,0.042,0.771,0.771,0.771,0.0567,0.0567,0.0812,0.0812,0.0741,0.0483,0.49,1,0.233,0.00559,0.233,0.233,0.0205,0.0205,0.182,0.228,0.069
1,0.0495,0.337,0.024,0.752,0.752,0.752,0.0405,0.0405,0.0464,0.0464,0.0494,0.0264,0.475,1,0.192,0.00559,0.192,0.192,0.0205,0.0205,0.15,0.188,0.046
1,0.0495,0.337,0.024,0.732,0.732,0.732,0.0243,0.0243,0.0464,0.0464,0.0247,0.0176,0.46,1,0.152,0.0112,0.152,0.152,0.0274,0.0274,0.182,0.228,0.0575
1,0.0529,0.345,0.042,0.712,0.712,0.712,0.0243,0.0243,0.0812,0.0812,0.0494,0.0242,0.475,1,0.162,0.0391,0.162,0.162,0.0548,0.0548,0.294,0.369,0.115
1,0.14,0.337,0.066,0.712,0.712,0.712,0.0811,0.0811,0.128,0.128,0.0741,0.0308,0.49,1,0.182,0.0671,0.182,0.182,0.103,0.103,0.419,0.526,0.391
1,0.33,0.33,0.15,0.752,0.752,0.752,0.162,0.162,0.255,0.255,0.198,0.0527,0.549,1,0.263,0.162,0.263,0.263,0.178,0.178,0.357,0.447,0.897
0.869,0.417,0.307,0.252,0.791,0.791,0.791,0.251,0.251,0.569,0.569,0.395,0.0944,0.623,1,0.334,0.257,0.334,0.334,0.301,0.301,0.15,0.188,1
0.41,0.427,0.27,0.276,0.811,0.811,0.811,0.47,0.47,0.847,0.847,0.593,0.156,0.638,1,0.334,0.246,0.334,0.334,0.575,0.575,0.15,0.188,0.92
0.246,0.424,0.225,0.288,0.811,0.811,0.811,0.527,0.527,0.998,0.998,0.84,0.206,0.638,1,0.324,0.229,0.324,0.324,0.829,0.829,0.119,0.149,0.77
0.246,0.411,0.18,0.252,0.791,0.791,0.791,0.454,0.454,0.975,0.975,0.963,0.246,0.638,1,0.334,0.246,0.334,0.334,0.87,0.87,0.0939,0.118,0.644
0.246,0.394,0.12,0.3,0.791,0.791,0.791,0.389,0.389,0.87,0.87,1,0.27,0.653,1,0.334,0.257,0.334,0.334,0.829,0.829,0.0876,0.11,0.54
0.246,0.382,0.0899,0.342,0.831,0.831,0.831,0.332,0.332,0.778,0.778,0.914,0.29,0.668,1,0.324,0.235,0.324,0.324,0.822,0.822,0.0876,0.11,0.46
0.246,0.378,0.0824,0.276,0.831,0.831,0.831,0.373,0.373,0.696,0.696,0.827,0.343,0.668,1,0.324,0.212,0.324,0.324,0.616,0.616,0.0876,0.11,0.402
0.246,0.378,0.0824,0.342,0.831,0.831,0.831,0.292,0.292,0.569,0.569,0.704,0.391,0.653,1,0.324,0.274,0.324,0.324,0.514,0.514,0.15,0.188,0.379
0.246,0.379,0.0899,0.264,0.811,0.811,0.811,0.308,0.308,0.603,0.603,0.753,0.431,0.683,1,0.334,0.33,0.334,0.334,0.418,0.418,0.363,0.455,0.356
0.295,0.386,0.142,0.552,0.87,0.87,0.87,0.308,0.308,0.58,0.58,0.679,0.452,0.713,1,0.455,0.615,0.455,0.455,0.253,0.253,0.789,0.989,0.448
0.541,0.412,0.285,0.9,0.949,0.949,0.949,0.397,0.397,0.569,0.569,0.667,0.468,0.772,1,0.577,0.9,0.577,0.577,0.158,0.158,0.764,0.958,0.586
0.885,0.484,0.36,0.702,0.989,0.989,0.989,0.705,0.705,0.569,0.569,0.63,0.551,0.787,1,0.668,0.643,0.668,0.668,0.089,0.089,0.426,0.534,0.69
0.885,0.619,0.45,0.36,0.949,0.949,0.949,0.9,0.9,0.569,0.569,0.63,0.725,0.742,1,0.769,0.391,0.769,0.769,0.0548,0.0548,0.382,0.479,0.69
0.885,0.783,0.622,0.21,0.93,0.93,0.93,0.73,0.73,0.569,0.569,0.642,0.852,0.698,1,0.819,0.246,0.819,0.819,0.0274,0.0274,0.319,0.4,0.632
1,0.88,0.734,0.15,0.91,0.91,0.91,0.543,0.543,0.545,0.545,0.667,0.786,0.668,1,0.87,0.106,0.87,0.87,0.0205,0.0205,0.269,0.338,0.552
1,0.597,0.637,0.096,0.87,0.87,0.87,0.357,0.357,0.371,0.371,0.543,0.496,0.594,1,0.759,0.0726,0.759,0.759,0.0205,0.0205,0.15,0.188,0.437
1,0.249,0.442,0.066,0.811,0.811,0.811,0.251,0.251,0.197,0.197,0.296,0.226,0.534,1,0.658,0.0391,0.658,0.658,0.0205,0.0205,0.15,0.188,0.299
1,0.124,0.345,0.042,0.791,0.791,0.791,0.122,0.122,0.104,0.104,0.123,0.0966,0.52,1,0.445,0.0224,0.445,0.445,0.0205,0.0205,0.15,0.188,0.138
1,0.0743,0.345,0.042,0.771,0.771,0.771,0.0567,0.0567,0.0812,0.0812,0.0741,0.0483,0.49,1,0.233,0.00559,0.233,0.233,0.0205,0.0205,0.182,0.228,0.069
1,0.0495,0.337,0.024,0.752,0.752,0.752,0.0405,0.0405,0.0464,0.0464,0.0494,0.0264,0.475,1,0.192,0.00559,0.192,0.192,0.0205,0.0205,0.15,0.188,0.046
1,0.0495,0.337,0.024,0.732,0.732,0.732,0.0243,0.0243,0.0464,0.0464,0.0247,0.0176,0.46,1,0.152,0.0112,0.152,0.152,0.0274,0.0274,0.182,0.228,0.0575
1,0.0529,0.345,0.042,0.712,0.712,0.712,0.0243,0.0243,0.0812,0.0812,0.0494,0.0242,0.475,1,0.162,0.0391,0.162,0.162,0.0548,0.0548,0.294,0.369,0.115
1,0.14,0.337,0.066,0.712,0.712,0.712,0.0811,0.0811,0.128,0.128,0.0741,0.0308,0.49,1,0.182,0.0671,0.182,0.182,0.103,0.103,0.419,0.526,0.391
1,0.33,0.33,0.15,0.752,0.752,0.752,0.162,0.162,0.255,0.255,0.198,0.0527,0.549,1,0.263,0.162,0.263,0.263,0.178,0.178,0.357,0.447,0.897
0.869,0.417,0.307,0.252,0.791,0.791,0.791,0.251,0.251,0.569,0.569,0.395,0.0944,0.623,1,0.334,0.257,0.334,0.334,0.301,0.301,0.15,0.188,1
0.41,0.427,0.27,0.276,0.811,0.811,0.811,0.47,0.47,0.847,0.847,0.593,0.156,0.638,1,0.334,0.246,0.334,0.334,0.575,0.575,0.15,0.188,0.92
0.246,0.424,0.225,0.288,0.811,0.811,0.811,0.527,0.527,0.998,0.998,0.84,0.206,0.638,1,0.324,0.229,0.324,0.324,0.829,0.829,0.119,0.149,0.77
0.246,0.411,0.18,0.252,0.791,0.791,0.791,0.454,0.454,0.975,0.975,0.963,0.246,0.638,1,0.334,0.246,0.334,0.334,0.87,0.87,0.0939,0.118,0.644
0.246,0.394,0.12,0.3,0.791,0.791,0.791,0.389,0.389,0.87,0.87,1,0.27,0.653,1,0.334,0.257,0.334,0.334,0.829,0.829,0.0876,0.11,0.54
0.246,0.382,0.0899,0.342,0.831,0.831,0.831,0.332,0.332,0.778,0.778,0.914,0.29,0.668,1,0.324,0.235,0.324,0.324,0.822,0.822,0.0876,0.11,0.46
0.246,0.378,0.0824,0.276,0.831,0.831,0.831,0.373,0.373,0.696,0.696,0.827,0.343,0.668,1,0.324,0.212,0.324,0.324,0.616,0.616,0.0876,0.11,0.402
0.246,0.378,0.0824,0.342,0.831,0.831,0.831,0.292,0.292,0.569,0.569,0.704,0.391,0.653,1,0.324,0.274,0.324,0.324,0.514,0.514,0.15,0.188,0.379
0.246,0.379,0.0899,0.264,0.811,0.811,0.811,0.308,0.308,0.603,0.603,0.753,0.431,0.683,1,0.334,0.33,0.334,0.334,0.418,0.418,0.363,0.455,0.356
0.295,0.386,0.142,0.552,0.87,0.87,0.87,0.308,0.308,0.58,0.58,0.679,0.452,0.713,1,0.455,0.615,0.455,0.455,0.253,0.253,0.789,0.989,0.448
0.541,0.412,0.285,0.9,0.949,0.949,0.949,0.397,0.397,0.569,0.569,0.667,0.468,0.772,1,0.577,0.9,0.577,0.577,0.158,0.158,0.764,0.958,0.586
0.885,0.484,0.36,0.702,0.989,0.989,0.989,0.705,0.705,0.569,0.569,0.63,0.551,0.787,1,0.668,0.643,0.668,0.668,0.089,0.089,0.426,0.534,0.69
0.885,0.619,0.45,0.36,0.949,0.949,0.949,0.9,0.9,0.569,0.569,0.63,0.725,0.742,1,0.769,0.391,0.769,0.769,0.0548,0.0548,0.382,0.479,0.69
0.885,0.783,0.622,0.21,0.93,0.93,0.93,0.73,0.73,0.569,0.569,0.642,0.852,0.698,1,0.819,0.246,0.819,0.819,0.0274,0.0274,0.319,0.4,0.632
1,0.88,0.734,0.15,0.91,0.91,0.91,0.543,0.543,0.545,0.545,0.667,0.786,0.668,1,0.87,0.106,0.87,0.87,0.0205,0.0205,0.269,0.338,0.552
1,0.597,0.637,0.096,0.87,0.87,0.87,0.357,0.357,0.371,0.371,0.543,0.496,0.594,1,0.759,0.0726,0.759,0.759,0.0205,0.0205,0.15,0.188,0.437
1,0.249,0.442,0.066,0.811,0.811,0.811,0.251,0.251,0.197,0.197,0.296,0.226,0.534,1,0.658,0.0391,0.658,0.658,0.0205,0.0205,0.15,0.188,0.299
1,0.124,0.345,0.042,0.791,0.791,0.791,0.122,0.122,0.104,0.104,0.123,0.0813,0.52,1,0.445,0.0224,0.445,0.445,0.0205,0.0205,0.15,0.188,0.138
1,0.0743,0.345,0.042,0.771,0.771,0.771,0.0567,0.0567,0.0812,0.0812,0.0741,0.0395,0.49,1,0.233,0.00559,0.233,0.233,0.0205,0.0205,0.182,0.228,0.069
1,0.0495,0.345,0.024,0.752,0.752,0.752,0.0405,0.0405,0.0464,0.0464,0.0494,0.0198,0.475,1,0.192,0.00559,0.192,0.192,0.0205,0.0205,0.15,0.188,0.046
1,0.0495,0.345,0.024,0.732,0.732,0.732,0.0243,0.0243,0.0464,0.0464,0.0247,0.0154,0.46,1,0.152,0.0112,0.152,0.152,0.0274,0.0274,0.182,0.228,0.0575
1,0.0529,0.345,0.042,0.712,0.712,0.712,0.0243,0.0243,0.0812,0.0812,0.0494,0.0242,0.475,1,0.162,0.0391,0.162,0.162,0.0548,0.0548,0.294,0.369,0.115
1,0.14,0.277,0.066,0.712,0.712,0.712,0.0811,0.0811,0.128,0.128,0.0741,0.0395,0.49,1,0.182,0.0671,0.182,0.182,0.103,0.103,0.419,0.526,0.391
1,0.33,0.262,0.15,0.752,0.752,0.752,0.162,0.162,0.255,0.255,0.198,0.0637,0.549,1,0.263,0.162,0.263,0.263,0.178,0.178,0.357,0.447,0.897
0.869,0.417,0.255,0.252,0.791,0.791,0.791,0.251,0.251,0.569,0.569,0.395,0.0879,0.623,1,0.334,0.257,0.334,0.334,0.301,0.301,0.15,0.188,1
0.41,0.427,0.247,0.276,0.811,0.811,0.811,0.47,0.47,0.847,0.847,0.593,0.108,0.638,1,0.334,0.246,0.334,0.334,0.575,0.575,0.15,0.188,0.92
0.246,0.424,0.21,0.288,0.811,0.811,0.811,0.527,0.527,0.998,0.998,0.84,0.127,0.638,1,0.324,0.229,0.324,0.324,0.829,0.829,0.119,0.149,0.77
0.246,0.411,0.165,0.252,0.791,0.791,0.791,0.454,0.454,0.975,0.975,0.963,0.143,0.638,1,0.334,0.246,0.334,0.334,0.87,0.87,0.0939,0.118,0.644
0.246,0.394,0.112,0.3,0.791,0.791,0.791,0.389,0.389,0.87,0.87,1,0.158,0.653,1,0.334,0.257,0.334,0.334,0.829,0.829,0.0876,0.11,0.54
0.246,0.382,0.0899,0.342,0.831,0.831,0.831,0.332,0.332,0.778,0.778,0.914,0.167,0.668,1,0.324,0.235,0.324,0.324,0.822,0.822,0.0876,0.11,0.46
0.246,0.378,0.0824,0.276,0.831,0.831,0.831,0.373,0.373,0.696,0.696,0.827,0.189,0.668,1,0.324,0.212,0.324,0.324,0.616,0.616,0.0876,0.11,0.402
0.246,0.378,0.0824,0.342,0.831,0.831,0.831,0.292,0.292,0.569,0.569,0.704,0.2,0.653,1,0.324,0.274,0.324,0.324,0.514,0.514,0.15,0.188,0.379
0.246,0.379,0.0899,0.264,0.811,0.811,0.811,0.308,0.308,0.603,0.603,0.753,0.224,0.683,1,0.334,0.33,0.334,0.334,0.418,0.418,0.363,0.455,0.356
0.295,0.386,0.142,0.552,0.87,0.87,0.87,0.308,0.308,0.58,0.58,0.679,0.279,0.713,1,0.455,0.615,0.455,0.455,0.253,0.253,0.789,0.989,0.448
0.541,0.412,0.277,0.9,0.949,0.949,0.949,0.397,0.397,0.569,0.569,0.667,0.343,0.772,1,0.577,0.9,0.577,0.577,0.158,0.158,0.764,0.958,0.586
0.885,0.484,0.367,0.702,0.989,0.989,0.989,0.705,0.705,0.569,0.569,0.63,0.461,0.787,1,0.668,0.643,0.668,0.668,0.089,0.089,0.426,0.534,0.69
0.885,0.619,0.487,0.36,0.949,0.949,0.949,0.9,0.9,0.569,0.569,0.63,0.646,0.742,1,0.769,0.391,0.769,0.769,0.0548,0.0548,0.382,0.479,0.69
0.885,0.783,0.682,0.21,0.93,0.93,0.93,0.73,0.73,0.569,0.569,0.642,0.797,0.698,1,0.819,0.246,0.819,0.819,0.0274,0.0274,0.319,0.4,0.632
1,0.88,0.787,0.15,0.91,0.91,0.91,0.543,0.543,0.545,0.545,0.667,0.756,0.668,1,0.87,0.106,0.87,0.87,0.0205,0.0205,0.269,0.338,0.552
1,0.597,0.682,0.096,0.87,0.87,0.87,0.357,0.357,0.371,0.371,0.543,0.457,0.594,1,0.759,0.0726,0.759,0.759,0.0205,0.0205,0.15,0.188,0.437
1,0.249,0.472,0.066,0.811,0.811,0.811,0.251,0.251,0.197,0.197,0.296,0.198,0.534,1,0.658,0.0391,0.658,0.658,0.0205,0.0205,0.15,0.188,0.299
1,0.124,0.345,0.042,0.791,0.791,0.791,0.122,0.122,0.104,0.104,0.123,0.0813,0.52,1,0.445,0.0224,0.445,0.445,0.0205,0.0205,0.15,0.188,0.138
1,0.0743,0.345,0.042,0.771,0.771,0.771,0.0567,0.0567,0.0812,0.0812,0.0741,0.0395,0.49,1,0.233,0.00559,0.233,0.233,0.0205,0.0205,0.182,0.228,0.069
1,0.0495,0.345,0.024,0.752,0.752,0.752,0.0405,0.0405,0.0464,0.0464,0.0494,0.0198,0.475,1,0.192,0.00559,0.192,0.192,0.0205,0.0205,0.15,0.188,0.046
1,0.0495,0.345,0.024,0.732,0.732,0.732,0.0243,0.0243,0.0464,0.0464,0.0247,0.0154,0.46,1,0.152,0.0112,0.152,0.152,0.0274,0.0274,0.182,0.228,0.0575
1,0.0529,0.345,0.042,0.712,0.712,0.712,0.0243,0.0243,0.0812,0.0812,0.0494,0.0242,0.475,1,0.162,0.0391,0.162,0.162,0.0548,0.0548,0.294,0.369,0.115
