Dependency=Geometry Building Type RECS	Dependency=Geometry Floor Area Bin	Dependency=Geometry Foundation Type	Dependency=Vintage	Option=1 Car	Option=2 Car	Option=3 Car	Option=None
Single-Family Detached	4000+	Crawl	2040s	0.010732	0.447490	0.498077	0.043700
Single-Family Detached	0-1499	Heated Basement	2040s	0.058119	0.555886	0.017473	0.368522
Single-Family Detached	1500-2499	Heated Basement	2040s	0.052176	0.685848	0.090372	0.171604
Single-Family Detached	2500-3999	Heated Basement	2040s	0.039918	0.649167	0.234644	0.076271
Single-Family Detached	4000+	Heated Basement	2040s	0.010732	0.447490	0.498077	0.043700
Single-Family Detached	0-1499	Pier and Beam	2040s	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	1500-2499	Pier and Beam	2040s	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2500-3999	Pier and Beam	2040s	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	4000+	Pier and Beam	2040s	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	0-1499	Slab	2040s	0.058119	0.555886	0.017473	0.368522
Single-Family Detached	1500-2499	Slab	2040s	0.052176	0.685848	0.090372	0.171604
Single-Family Detached	2500-3999	Slab	2040s	0.039918	0.649167	0.234644	0.076271
Single-Family Detached	4000+	Slab	2040s	0.010732	0.447490	0.498077	0.043700
Single-Family Detached	0-1499	Unheated Basement	2040s	0.058119	0.555886	0.017473	0.368522
Single-Family Detached	1500-2499	Unheated Basement	2040s	0.052176	0.685848	0.090372	0.171604
Single-Family Detached	2500-3999	Unheated Basement	2040s	0.039918	0.649167	0.234644	0.076271
Single-Family Detached	4000+	Unheated Basement	2040s	0.010732	0.447490	0.498077	0.043700
Mobile Home	0-1499	Crawl	2050s	0.000000	0.000000	0.000000	1.000000
Mobile Home	1500-2499	Crawl	2050s	0.000000	0.000000	0.000000	1.000000
Mobile Home	2500-3999	Crawl	2050s	0.000000	0.000000	0.000000	1.000000
Mobile Home	4000+	Crawl	2050s	0.000000	0.000000	0.000000	1.000000
Mobile Home	0-1499	Heated Basement	2050s	0.000000	0.000000	0.000000	1.000000
Mobile Home	1500-2499	Heated Basement	2050s	0.000000	0.000000	0.000000	1.000000
Mobile Home	2500-3999	Heated Basement	2050s	0.000000	0.000000	0.000000	1.000000
Mobile Home	4000+	Heated Basement	2050s	0.000000	0.000000	0.000000	1.000000
Mobile Home	0-1499	Pier and Beam	2050s	0.000000	0.000000	0.000000	1.000000
Mobile Home	1500-2499	Pier and Beam	2050s	0.000000	0.000000	0.000000	1.000000
Mobile Home	2500-3999	Pier and Beam	2050s	0.000000	0.000000	0.000000	1.000000
Mobile Home	4000+	Pier and Beam	2050s	0.000000	0.000000	0.000000	1.000000
Mobile Home	0-1499	Slab	2050s	0.000000	0.000000	0.000000	1.000000
Mobile Home	1500-2499	Slab	2050s	0.000000	0.000000	0.000000	1.000000
Mobile Home	2500-3999	Slab	2050s	0.000000	0.000000	0.000000	1.000000
Mobile Home	4000+	Slab	2050s	0.000000	0.000000	0.000000	1.000000
Mobile Home	0-1499	Unheated Basement	2050s	0.000000	0.000000	0.000000	1.000000
Mobile Home	1500-2499	Unheated Basement	2050s	0.000000	0.000000	0.000000	1.000000
Mobile Home	2500-3999	Unheated Basement	2050s	0.000000	0.000000	0.000000	1.000000
Mobile Home	4000+	Unheated Basement	2050s	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	0-1499	Crawl	2050s	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	1500-2499	Crawl	2050s	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2500-3999	Crawl	2050s	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	4000+	Crawl	2050s	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	0-1499	Heated Basement	2050s	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	1500-2499	Heated Basement	2050s	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2500-3999	Heated Basement	2050s	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	4000+	Heated Basement	2050s	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	0-1499	Pier and Beam	2050s	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	1500-2499	Pier and Beam	2050s	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2500-3999	Pier and Beam	2050s	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	4000+	Pier and Beam	2050s	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	0-1499	Slab	2050s	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	1500-2499	Slab	2050s	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2500-3999	Slab	2050s	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	4000+	Slab	2050s	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	0-1499	Unheated Basement	2050s	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	1500-2499	Unheated Basement	2050s	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2500-3999	Unheated Basement	2050s	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	4000+	Unheated Basement	2050s	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	0-1499	Crawl	2050s	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	1500-2499	Crawl	2050s	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2500-3999	Crawl	2050s	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	4000+	Crawl	2050s	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	0-1499	Heated Basement	2050s	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	1500-2499	Heated Basement	2050s	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2500-3999	Heated Basement	2050s	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	4000+	Heated Basement	2050s	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	0-1499	Pier and Beam	2050s	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	1500-2499	Pier and Beam	2050s	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2500-3999	Pier and Beam	2050s	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	4000+	Pier and Beam	2050s	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	0-1499	Slab	2050s	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	1500-2499	Slab	2050s	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2500-3999	Slab	2050s	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	4000+	Slab	2050s	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	0-1499	Unheated Basement	2050s	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	1500-2499	Unheated Basement	2050s	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2500-3999	Unheated Basement	2050s	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	4000+	Unheated Basement	2050s	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	0-1499	Crawl	2050s	0.296845	0.275771	0.000000	0.427384
Single-Family Attached	1500-2499	Crawl	2050s	0.263262	0.639872	0.000000	0.096866
Single-Family Attached	2500-3999	Crawl	2050s	0.135373	0.602858	0.000000	0.261769
Single-Family Attached	4000+	Crawl	2050s	0.000000	0.528356	0.471644	0.000000
Single-Family Attached	0-1499	Heated Basement	2050s	0.296845	0.275771	0.000000	0.427384
Single-Family Attached	1500-2499	Heated Basement	2050s	0.263262	0.639872	0.000000	0.096866
Single-Family Attached	2500-3999	Heated Basement	2050s	0.135373	0.602858	0.000000	0.261769
Single-Family Attached	4000+	Heated Basement	2050s	0.000000	0.528356	0.471644	0.000000
Single-Family Attached	0-1499	Pier and Beam	2050s	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	1500-2499	Pier and Beam	2050s	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2500-3999	Pier and Beam	2050s	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	4000+	Pier and Beam	2050s	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	0-1499	Slab	2050s	0.296845	0.275771	0.000000	0.427384
Single-Family Attached	1500-2499	Slab	2050s	0.263262	0.639872	0.000000	0.096866
Single-Family Attached	2500-3999	Slab	2050s	0.135373	0.602858	0.000000	0.261769
Single-Family Attached	4000+	Slab	2050s	0.000000	0.528356	0.471644	0.000000
Single-Family Attached	0-1499	Unheated Basement	2050s	0.296845	0.275771	0.000000	0.427384
Single-Family Attached	1500-2499	Unheated Basement	2050s	0.263262	0.639872	0.000000	0.096866
Single-Family Attached	2500-3999	Unheated Basement	2050s	0.135373	0.602858	0.000000	0.261769
Single-Family Attached	4000+	Unheated Basement	2050s	0.000000	0.528356	0.471644	0.000000
Single-Family Detached	0-1499	Crawl	2050s	0.058119	0.555886	0.017473	0.368522
Single-Family Detached	1500-2499	Crawl	2050s	0.052176	0.685848	0.090372	0.171604
Single-Family Detached	2500-3999	Crawl	2050s	0.039918	0.649167	0.234644	0.076271
Single-Family Detached	4000+	Crawl	2050s	0.010732	0.447490	0.498077	0.043700
Single-Family Detached	0-1499	Heated Basement	2050s	0.058119	0.555886	0.017473	0.368522
Single-Family Detached	1500-2499	Heated Basement	2050s	0.052176	0.685848	0.090372	0.171604
Single-Family Detached	2500-3999	Heated Basement	2050s	0.039918	0.649167	0.234644	0.076271
Single-Family Detached	4000+	Heated Basement	2050s	0.010732	0.447490	0.498077	0.043700
Single-Family Detached	0-1499	Pier and Beam	2050s	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	1500-2499	Pier and Beam	2050s	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2500-3999	Pier and Beam	2050s	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	4000+	Pier and Beam	2050s	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	0-1499	Slab	2050s	0.058119	0.555886	0.017473	0.368522
Single-Family Detached	1500-2499	Slab	2050s	0.052176	0.685848	0.090372	0.171604
Single-Family Detached	2500-3999	Slab	2050s	0.039918	0.649167	0.234644	0.076271
Single-Family Detached	4000+	Slab	2050s	0.010732	0.447490	0.498077	0.043700
Single-Family Detached	0-1499	Unheated Basement	2050s	0.058119	0.555886	0.017473	0.368522
Single-Family Detached	1500-2499	Unheated Basement	2050s	0.052176	0.685848	0.090372	0.171604
Single-Family Detached	2500-3999	Unheated Basement	2050s	0.039918	0.649167	0.234644	0.076271
Single-Family Detached	4000+	Unheated Basement	2050s	0.010732	0.447490	0.498077	0.043700
